date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:49	3718/3718	---M--	200	added ('OK')	image/webp	etag:%22200777-e86-61fcd2217b640%22	https://brand-image.co.in/assets/img/about/B.webp	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/about/B.webp	(from https://brand-image.co.in/)
16:28:50	5100/5100	---M--	200	added ('OK')	image/webp	etag:%22200778-13ec-61fcd232a5ec0%22	https://brand-image.co.in/assets/img/about/H.webp	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/about/H.webp	(from https://brand-image.co.in/)
16:28:50	97424/97424	---M--	200	added ('OK')	image/jpeg	etag:%22222763-17c90-61fc70e5a0f00%22	https://brand-image.co.in/assets/img/bg/cta-bg-1-2.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/bg/cta-bg-1-2.jpg	(from https://brand-image.co.in/)
16:28:50	16791/16791	---M--	200	added ('OK')	image/jpeg	etag:%2222276f-4197-61fc70e5a0f00%22	https://brand-image.co.in/assets/img/bg/process-bg-1-1.jpg	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/bg/process-bg-1-1.jpg	(from https://brand-image.co.in/)
16:28:51	1349/1349	---M--	200	added ('OK')	image/png	etag:%22320f9a-545-61fc70e971800%22	https://brand-image.co.in/assets/img/icon/process-arrow-1-1.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/icon/process-arrow-1-1.png	(from https://brand-image.co.in/)
16:28:51	2348/2348	---M--	200	added ('OK')	image/png	etag:%22320f96-92c-61fc70e971800%22	https://brand-image.co.in/assets/img/icon/process-1-1.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/icon/process-1-1.png	(from https://brand-image.co.in/)
16:28:51	2952/2952	---M--	200	added ('OK')	image/png	etag:%22320f46-b88-61fc70e971800%22	https://brand-image.co.in/assets/img/icon/fe-2-1.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/icon/fe-2-1.png	(from https://brand-image.co.in/)
16:28:52	2600/2600	---M--	200	added ('OK')	image/png	etag:%22320f99-a28-61fc70e971800%22	https://brand-image.co.in/assets/img/icon/process-1-4.png	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/img/icon/process-1-4.png	(from https://brand-image.co.in/)
16:28:52	30182/30182	---M-Z	200	added ('OK')	text/html	etag:%221a4434-7420-6201738d3b880-gzip%22	https://brand-image.co.in/index.html	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/index-2.html	(from https://brand-image.co.in/)
16:28:52	89505/89505	---M--	200	added ('OK')	text/javascript	etag:%22321640-15da1-61fc70eb59c80%22	https://brand-image.co.in/assets/js/vendor/jquery-3.6.0.min.js	C:/My%20Web%20Sites/Brand%20Image/brand-image.co.in/assets/js/vendor/jquery-3.6.0.min.js	(from https://brand-image.co.in/)
